,Código da Rede,Rede,Código da Etapa,Etapa,Código da GRE,GRE,Código do Município,Município,Código da Escola,Escola,Edição,Proficiência Média,Desvio Padrão,Padrão de Desempenho,Elementar I,Elementar II,Básico,Desejável,Estudantes Previstos,Estudantes Efetivos,Percentual de Participação
21,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2606606,IBIMIRIM,26026910,ESCOLA CICERO AUGUSTO GOMES,2008,139.9,"36,0",Elementar I,"62,5","20,8","16,7","0,0",-,24,-
22,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2606606,IBIMIRIM,26027488,ESCOLA JOAQUIM GUEDES CORREIA GONDIM NETO,2008,170.8,"34,6",Elementar II,"30,0","46,7","16,7","6,7",-,30,-
23,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2606606,IBIMIRIM,26027615,ESCOLA IRACEMA MOURA DE MORAES VERAS,2008,166.9,"38,4",Elementar II,"37,0","18,5","37,0","7,4",-,27,-
24,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2607000,INAJA,26028573,ESCOLA JOEL PEDRO DA SILVA,2008,166.0,"47,9",Elementar II,"38,9","22,2","27,8","11,1",-,18,-
25,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2609154,MANARI,26029243,ESCOLA CEL MANOEL DE SOUZA NETO,2008,163.7,"31,4",Elementar II,"31,3","43,8","18,8","6,3",-,16,-
26,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2610806,PEDRA,26047845,ESCOLA ANETE VALE DE OLIVEIRA,2008,163.5,"41,1",Elementar II,"35,0","36,7","16,7","11,7",-,60,-
27,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2610806,PEDRA,26048078,ESCOLA AMALIA CAVALCANTI DA COSTA LIMA,2008,166.2,"33,8",Elementar II,"37,8","30,5","25,6","6,1",-,82,-
28,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2614105,SERTANIA,26029782,ESCOLA INSTITUTO EDUCACIONAL BENEFICENTE,2008,139.6,"41,3",Elementar I,"60,7","21,4","17,9","0,0",-,28,-
29,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2614105,SERTANIA,26029790,ESCOLA NOSSA SENHORA DE FATIMA,2008,182.2,"43,7",Elementar II,"15,0","50,0","20,0","15,0",-,20,-
30,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2614105,SERTANIA,26029910,ESCOLA OLAVO BILAC,2008,139.9,"41,4",Elementar I,"53,8","38,5","3,8","3,8",-,26,-
31,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2614105,SERTANIA,26029936,ESCOLA PROFESSOR JORGE DE MENEZES,2008,178.7,"32,7",Elementar II,"20,0","36,7","36,7","6,7",-,30,-
32,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2614105,SERTANIA,26029960,ESCOLA SEBASTIAO LAFAYETTE,2008,168.7,"33,9",Elementar II,"9,1","54,5","36,4","0,0",-,11,-
33,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,114,SERTAO DO MOXOTO IPANEMA(ARCOVERDE),2615805,TUPANATINGA,26048949,ESCOLA TOMAS CALIXTO GOMES,2008,242.8,"9,4",Desejável,"0,0","0,0","0,0","100,0",-,8,-
34,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,115,SERTAO DO SUBMEDIO SAO FRANCISCO(FLORESTA),2608057,JATOBA,26042126,ESCOLA DR CARLOS ESTEVAO,2008,134.4,"34,7",Elementar I,"73,1","15,4","11,5","0,0",-,26,-
35,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,115,SERTAO DO SUBMEDIO SAO FRANCISCO(FLORESTA),2608057,JATOBA,26042479,ESCOLA PANKARARUS,2008,143.5,"28,8",Elementar I,"52,9","41,2","5,9","0,0",-,34,-
36,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,115,SERTAO DO SUBMEDIO SAO FRANCISCO(FLORESTA),2608057,JATOBA,26155516,ESCOLA INDIGENA APINAGE,2008,145.1,"29,8",Elementar I,"46,7","46,7","6,7","0,0",-,15,-
37,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,115,SERTAO DO SUBMEDIO SAO FRANCISCO(FLORESTA),2608057,JATOBA,26171600,ESCOLA ESTADUAL RURAL MANOEL GOMES DE SA,2008,158.8,"35,3",Elementar II,"46,2","26,9","26,9","0,0",-,26,-
38,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,115,SERTAO DO SUBMEDIO SAO FRANCISCO(FLORESTA),2611002,PETROLANDIA,26042169,ESCOLA LOGRADOURO,2008,166.4,"33,4",Elementar II,"25,0","37,5","37,5","0,0",-,8,-
39,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,115,SERTAO DO SUBMEDIO SAO FRANCISCO(FLORESTA),2614808,TACARATU,26042711,ESCOLA DO ESPINHEIRO,2008,145.0,"25,2",Elementar I,"50,0","50,0","0,0","0,0",-,12,-
40,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,115,SERTAO DO SUBMEDIO SAO FRANCISCO(FLORESTA),2614808,TACARATU,26042754,ESCOLA DO AGRESTE,2008,194.2,"40,9",Básico,"14,3","28,6","28,6","28,6",-,7,-
41,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,115,SERTAO DO SUBMEDIO SAO FRANCISCO(FLORESTA),2614808,TACARATU,26043009,ESCOLA SANTA CLARA,2008,224.1,"12,5",Desejável,"0,0","0,0","25,0","75,0",-,4,-
42,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,115,SERTAO DO SUBMEDIO SAO FRANCISCO(FLORESTA),2614808,TACARATU,26043017,ESCOLA SANTA INES DA TAPERA,2008,201.6,"35,6",Básico,"0,0","50,0","0,0","50,0",-,2,-
43,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,115,SERTAO DO SUBMEDIO SAO FRANCISCO(FLORESTA),2614808,TACARATU,26043076,ESCOLA PAKARARUS EZEQUIEL,2008,151.3,"37,1",Elementar II,"45,5","27,3","27,3","0,0",-,11,-
44,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,115,SERTAO DO SUBMEDIO SAO FRANCISCO(FLORESTA),2614808,TACARATU,26043203,ESCOLA MARECHAL RONDON,2008,160.7,"29,1",Elementar II,"28,6","57,1","14,3","0,0",-,7,-
45,1,ESTADUAL,5,4ª SÉRIE/5º ANO EF,115,SERTAO DO SUBMEDIO SAO FRANCISCO(FLORESTA),2614808,TACARATU,26043408,ESCOLA PRINCESA ISABEL,2008,124.9,"38,7",Elementar I,"69,2","23,1","7,7","0,0",-,13,-
46,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010275,ESCOLA MUL OSMINA BATISTA DE ALENCAR,2008,155.5,"40,0",Elementar II,"33,3","66,7","0,0","0,0",-,6,-
47,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010283,ESCOLA MUL PAULO CAVALCANTE DE OLIVEIRA,2008,139.8,"47,8",Elementar I,"60,0","20,0","20,0","0,0",-,5,-
48,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010291,ESCOLA MUNICIPAL PEDRO LOPES DE BARROS,2008,178.6,"21,7",Elementar II,"0,0","71,4","28,6","0,0",-,7,-
49,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010313,ESCOLA MUNICIPAL ANDRE FIDELIS DE ARAUJO,2008,157.0,"51,4",Elementar II,"40,0","40,0","0,0","20,0",-,5,-
50,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010356,ESCOLA MUNICIPAL ANTONIO DE CARVALHO,2008,148.2,"29,4",Elementar I,"55,9","33,8","10,3","0,0",-,68,-
51,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010518,GRUPO ESCOLAR JOSE DUARTE DE SOUZA,2008,210.0,"26,7",Básico,"0,0","0,0","80,0","20,0",-,5,-
52,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010534,GRUPO ESCOLAR ALEXANDRINO RODRIGUES DA SILVA,2008,165.9,"16,6",Elementar II,"20,0","60,0","20,0","0,0",-,5,-
53,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010577,GRUPO ESCOLAR CARLOS MIRANDA,2008,126.9,"38,0",Elementar I,"70,0","30,0","0,0","0,0",-,10,-
54,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010585,GRUPO ESCOLAR CASSIMIRO BRIGIDA,2008,132.4,"32,7",Elementar I,"66,7","33,3","0,0","0,0",-,6,-
55,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010623,ESCOLA MUNICIPAL CREUZA ALVES DA LUZ,2008,161.8,"30,6",Elementar II,"33,3","33,3","33,3","0,0",-,6,-
56,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010682,ESCOLA MUL RAIMUNDO DA COSTA MIRANDA,2008,200.2,"44,1",Básico,"12,5","12,5","62,5","12,5",-,8,-
57,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010690,ESCOLA MUNICIPAL SEVERIANO DE ALENCAR,2008,180.3,"28,4",Elementar II,"20,0","20,0","60,0","0,0",-,5,-
58,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010704,ESCOLA MUNICIPAL RAIMUNDO AMANDO AGRA,2008,144.1,"19,0",Elementar I,"50,0","50,0","0,0","0,0",-,4,-
59,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010720,GRUPO ESCOLAR JOSE CLEMENTINO LIMA,2008,146.4,"44,2",Elementar I,"75,0","0,0","25,0","0,0",-,4,-
60,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010739,GRUPO ESCOLAR EPIFANIO ALVES DA LUZ,2008,130.0,"28,5",Elementar I,"75,0","25,0","0,0","0,0",-,8,-
61,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010755,GRUPO ESCOLAR JOAO BRIGIDO DA CRUZ,2008,166.1,"42,5",Elementar II,"25,0","50,0","12,5","12,5",-,8,-
62,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010763,GRUPO ESCOLAR JOSE CARDOSO MIRANDA,2008,179.4,"11,7",Elementar II,"0,0","62,5","37,5","0,0",-,8,-
63,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010771,GRUPO ESCOLAR PAULO ANTONIO,2008,161.4,"44,6",Elementar II,"50,0","16,7","16,7","16,7",-,6,-
64,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010798,ESCOLA MUNICIPAL ANTONIO DA CRUZ PARENTE,2008,148.1,"23,8",Elementar I,"45,5","45,5","9,1","0,0",-,11,-
65,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010836,ESCOLA MUNICIPAL JOAO LIBERATO DE LIMA,2008,136.5,"43,3",Elementar I,"60,0","20,0","20,0","0,0",-,5,-
66,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010941,GRUPO ESCOLAR ANTONIO ABILIO GRANJA,2008,142.7,"20,6",Elementar I,"25,0","75,0","0,0","0,0",-,4,-
67,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010984,ESCOLA MUNICIPAL JOSE RAMOS ANGELIM,2008,136.1,"30,8",Elementar I,"70,7","22,0","7,3","0,0",-,41,-
68,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2610400,PARNAMIRIM,26010992,GRUPO ESCOLAR SEVERIANO ALVES DE MATOS,2008,156.5,"28,1",Elementar II,"54,5","36,4","9,1","0,0",-,11,-
69,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2614303,MOREILANDIA,26008106,ESCOLA MUNICIPAL JOAO FERREIRA LOPES,2008,166.8,"29,8",Elementar II,"30,0","40,0","30,0","0,0",-,10,-
70,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2614303,MOREILANDIA,26008130,ESCOLA MUNICIPAL MANOEL LAURINDO,2008,167.0,"27,9",Elementar II,"23,5","58,8","11,8","5,9",-,17,-
71,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2614303,MOREILANDIA,26008203,ESCOLA MUNICIPAL ANTONIO PEIXOTO DE LUNA,2008,167.3,"24,3",Elementar II,"26,7","40,0","33,3","0,0",-,15,-
72,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2614303,MOREILANDIA,26008270,ESCOLA MUNICIPAL TRINTA E UM DE MARCO,2008,156.4,"26,8",Elementar II,"35,7","42,9","21,4","0,0",-,14,-
73,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2614303,MOREILANDIA,26008319,ESCOLA MUNICIPAL JOSE ALVES LOPES,2008,119.8,"35,3",Elementar I,"83,3","16,7","0,0","0,0",-,6,-
74,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2614303,MOREILANDIA,26008351,ESCOLA MUNICIPAL MANUEL ANTERO,2008,170.7,"27,4",Elementar II,"20,0","50,0","30,0","0,0",-,10,-
75,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2614303,MOREILANDIA,26008360,ESCOLA MUNICIPAL OLIMPIO XAVIER,2008,191.3,"38,5",Básico,"25,0","25,0","25,0","25,0",-,8,-
76,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2614303,MOREILANDIA,26008386,ESCOLA MUNICIPAL OTAVIO ANGELIM,2008,160.4,"29,7",Elementar II,"28,6","57,1","14,3","0,0",-,7,-
77,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2614303,MOREILANDIA,26008521,ESCOLA LAURA BEZERRA,2008,160.3,"31,6",Elementar II,"42,5","35,0","20,0","2,5",-,40,-
78,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,111,SERTAO CENTRAL(SALGUEIRO),2614303,MOREILANDIA,26140500,ESCOLA MUNICIPAL SANTA TERESINHA,2008,161.1,"33,6",Elementar II,"39,4","33,3","22,7","4,5",-,66,-
79,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000075,ESCOLA ALMEIDA JUNIOR,2008,160.7,"30,3",Elementar II,"38,9","38,9","16,7","5,6",-,18,-
80,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000091,ESCOLA ANTENOR DIAS DO VALE,2008,133.3,"34,2",Elementar I,"72,7","18,2","9,1","0,0",-,11,-
81,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000105,ESCOLA ANTONIETA SALATIEL ALENCAR ARRAES,2008,173.6,"46,5",Elementar II,"28,9","37,8","22,2","11,1",-,45,-
82,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000180,ESCOLA BOAVENTURA PRAXEDES ALENCAR,2008,143.6,"33,9",Elementar I,"55,6","33,3","11,1","0,0",-,9,-
83,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000199,ESCOLA BOM JESUS DA LAPA,2008,173.9,"39,0",Elementar II,"23,0","42,6","26,2","8,2",-,61,-
84,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000202,ESCOLA BOM JESUS DOS PASSOS,2008,154.8,"44,0",Elementar II,"35,3","35,3","29,4","0,0",-,17,-
85,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000288,ESCOLA DIONISIO DE DEUS LIMA,2008,204.9,"12,1",Básico,"0,0","0,0","100,0","0,0",-,3,-
86,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000350,ESCOLA GENESIO ALMEIDA,2008,123.9,"46,3",Elementar I,"75,0","12,5","12,5","0,0",-,8,-
87,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000385,ESCOLA HENRIQUE DIAS,2008,145.4,"22,2",Elementar I,"71,4","28,6","0,0","0,0",-,7,-
88,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000407,ESCOLA HONORIO MARTINS DE ALENCAR,2008,178.2,"18,8",Elementar II,"0,0","40,0","60,0","0,0",-,5,-
89,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000423,ESCOLA ISABEL MARIA DA CONCEICAO,2008,194.3,"29,2",Básico,"0,0","40,0","40,0","20,0",-,5,-
90,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000431,ESCOLA JARBAS PASSARINHO,2008,187.7,"34,4",Básico,"0,0","58,3","25,0","16,7",-,12,-
91,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000504,ESCOLA JOAQUIM NONATO DE ANDRADE,2008,180.6,"46,7",Elementar II,"12,5","25,0","50,0","12,5",-,8,-
92,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000555,ESCOLA JOSE FERREIRA LOPES,2008,172.7,"31,4",Elementar II,"25,6","41,9","27,9","4,7",-,43,-
93,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000601,ESCOLA LAGOA FECHADA,2008,166.6,"36,4",Elementar II,"36,4","36,4","18,2","9,1",-,11,-
94,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000628,ESCOLA MANOEL JACO DE SOUSA,2008,170.5,"29,8",Elementar II,"33,3","33,3","33,3","0,0",-,6,-
95,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000644,ESCOLA MARIO ANDREAZZA,2008,179.8,"27,8",Elementar II,"20,0","40,0","33,3","6,7",-,15,-
96,2,MUNICIPAL,5,4ª SÉRIE/5º ANO EF,113,SERTAO DO ARARIPE(ARARIPINA),2601102,ARARIPINA,26000652,ESCOLA MARTINS JOSE DE ALENCAR,2008,145.0,"30,0",Elementar I,"60,0","40,0","0,0","0,0",-,5,-
